scenario,scheme,row,resolution,benefit_2050
31,"Developing economies, LDCs and SIDS",Saudi Arabia,individual,0.018
31,"Developing economies, LDCs and SIDS",Serbia,individual,0.015
31,"Developing economies, LDCs and SIDS",Singapore,individual,0.022
31,"Developing economies, LDCs and SIDS",Slovenia,individual,-0.007
31,"Developing economies, LDCs and SIDS",South Africa,individual,0.019
31,"Developing economies, LDCs and SIDS",Spain,individual,0.008
31,"Developing economies, LDCs and SIDS",Sri Lanka,individual,0.012
31,"Developing economies, LDCs and SIDS",Sweden,individual,0.004
31,"Developing economies, LDCs and SIDS",Syrian Arab Republic,individual,-0.091
31,"Developing economies, LDCs and SIDS",Thailand,individual,0.028
31,"Developing economies, LDCs and SIDS",Trinidad and Tobago,individual,0.013
31,"Developing economies, LDCs and SIDS",Tunisia,individual,0.028
31,"Developing economies, LDCs and SIDS",Türkiye,individual,0.016
31,"Developing economies, LDCs and SIDS",Ukraine,individual,0.030
31,"Developing economies, LDCs and SIDS",United Arab Emirates,individual,0.036
31,"Developing economies, LDCs and SIDS",United Kingdom of Great Britain and Northern Ireland,individual,0.005
31,"Developing economies, LDCs and SIDS",United Republic of Tanzania,individual,0.056
31,"Developing economies, LDCs and SIDS",United States of America,individual,0.004
31,"Developing economies, LDCs and SIDS",Uruguay,individual,0.003
31,"Developing economies, LDCs and SIDS",Uzbekistan,individual,0.002
31,"Developing economies, LDCs and SIDS",Venezuela (Bolivarian Republic of),individual,0.005
31,"Developing economies, LDCs and SIDS",Viet Nam,individual,0.145
31,"Developing economies, LDCs and SIDS",Zimbabwe,individual,0.024
31,SIDS and LDCs,Albania,individual,0.003
31,SIDS and LDCs,Algeria,individual,0.015
31,SIDS and LDCs,Argentina,individual,0.005
31,SIDS and LDCs,Armenia,individual,0.011
31,SIDS and LDCs,Australia,individual,0.010
31,SIDS and LDCs,Bahrain,individual,0.023
31,SIDS and LDCs,Bangladesh,individual,0.013
31,SIDS and LDCs,Belgium,individual,-0.006
31,SIDS and LDCs,Bolivia (Plurinational State of),individual,0.005
31,SIDS and LDCs,Botswana,individual,0.009
31,SIDS and LDCs,Brazil,individual,0.003
31,SIDS and LDCs,Brunei Darussalam,individual,0.018
31,SIDS and LDCs,Bulgaria,individual,0.014
31,SIDS and LDCs,Cameroon,individual,0.010
31,SIDS and LDCs,Canada,individual,-0.002
31,SIDS and LDCs,Chile,individual,0.015
31,SIDS and LDCs,China,individual,0.007
31,SIDS and LDCs,Colombia,individual,0.007
31,SIDS and LDCs,Costa Rica,individual,0.011
31,SIDS and LDCs,Croatia,individual,-0.005
31,SIDS and LDCs,Cyprus,individual,0.009
31,SIDS and LDCs,Côte d'Ivoire,individual,0.020
31,SIDS and LDCs,Denmark,individual,-0.008
31,SIDS and LDCs,Dominican Republic,individual,0.019
31,SIDS and LDCs,Ecuador,individual,0.009
31,SIDS and LDCs,Egypt,individual,0.022
31,SIDS and LDCs,El Salvador,individual,0.010
31,SIDS and LDCs,Equatorial Guinea,individual,0.010
31,SIDS and LDCs,Estonia,individual,-0.008
31,SIDS and LDCs,Eswatini,individual,0.009
31,SIDS and LDCs,Finland,individual,0.002
31,SIDS and LDCs,France,individual,-0.001
31,SIDS and LDCs,Gabon,individual,0.023
31,SIDS and LDCs,Georgia,individual,0.019
31,SIDS and LDCs,Germany,individual,0.005
31,SIDS and LDCs,Ghana,individual,0.021
31,SIDS and LDCs,Greece,individual,-0.001
31,SIDS and LDCs,Guatemala,individual,0.011
31,SIDS and LDCs,Honduras,individual,0.024
31,SIDS and LDCs,India,individual,0.012
31,SIDS and LDCs,Indonesia,individual,0.011
31,SIDS and LDCs,Iran (Islamic Republic of),individual,0.008
31,SIDS and LDCs,Iraq,individual,0.019
31,SIDS and LDCs,Ireland,individual,0.018
31,SIDS and LDCs,Israel,individual,0.007
31,SIDS and LDCs,Italy,individual,0.003
31,SIDS and LDCs,Japan,individual,0.007
31,SIDS and LDCs,Jordan,individual,0.020
31,SIDS and LDCs,Kenya,individual,0.035
31,SIDS and LDCs,Kuwait,individual,0.022
31,SIDS and LDCs,Latvia,individual,-0.014
31,SIDS and LDCs,Lithuania,individual,-0.001
31,SIDS and LDCs,Madagascar,individual,0.097
31,SIDS and LDCs,Malaysia,individual,0.037
31,SIDS and LDCs,Malta,individual,-0.009
31,SIDS and LDCs,Mauritius,individual,0.023
31,SIDS and LDCs,Mexico,individual,0.000
31,SIDS and LDCs,Morocco,individual,0.020
31,SIDS and LDCs,Namibia,individual,0.026
31,SIDS and LDCs,Netherlands (Kingdom of the),individual,-0.002
31,SIDS and LDCs,New Zealand,individual,0.008
31,SIDS and LDCs,Nicaragua,individual,0.026
31,SIDS and LDCs,Nigeria,individual,0.008
31,SIDS and LDCs,Norway,individual,0.006
31,SIDS and LDCs,Oman,individual,0.028
31,SIDS and LDCs,Pakistan,individual,0.010
31,SIDS and LDCs,Panama,individual,0.002
31,SIDS and LDCs,Paraguay,individual,0.009
31,SIDS and LDCs,Peru,individual,0.012
31,SIDS and LDCs,Philippines,individual,0.021
31,SIDS and LDCs,Poland,individual,0.006
31,SIDS and LDCs,Portugal,individual,0.007
31,SIDS and LDCs,Qatar,individual,0.019
31,SIDS and LDCs,Republic of Korea,individual,0.018
31,SIDS and LDCs,Rest of American SIDS,aggregate,0.043
31,SIDS and LDCs,Rest of Asia,aggregate,0.013
31,SIDS and LDCs,Rest of Asian SIDS and LDCs,aggregate,0.216
31,SIDS and LDCs,Rest of Caribbean,aggregate,0.043
31,SIDS and LDCs,Rest of Europe,aggregate,0.021
31,SIDS and LDCs,Rest of LDC in Africa,aggregate,0.094
31,SIDS and LDCs,Rest of Middle East and North Africa,aggregate,0.012
31,SIDS and LDCs,Rest of Oceania,aggregate,0.184
31,SIDS and LDCs,Rest of Western Africa,aggregate,1.213
31,SIDS and LDCs,Rest of developing economies in Europe and Central Asia,aggregate,0.004
31,SIDS and LDCs,Rest of landlocked economies in Africa,aggregate,0.113
31,SIDS and LDCs,Rest of the world,aggregate,-0.002
31,SIDS and LDCs,Romania,individual,0.015
31,SIDS and LDCs,Russian Federation,individual,0.009
31,SIDS and LDCs,Saudi Arabia,individual,0.019
31,SIDS and LDCs,Serbia,individual,0.012
31,SIDS and LDCs,Singapore,individual,0.024
31,SIDS and LDCs,Slovenia,individual,-0.007
31,SIDS and LDCs,South Africa,individual,0.015
31,SIDS and LDCs,Spain,individual,0.007
31,SIDS and LDCs,Sri Lanka,individual,0.006
31,SIDS and LDCs,Sweden,individual,0.003
31,SIDS and LDCs,Syrian Arab Republic,individual,0.017
31,SIDS and LDCs,Thailand,individual,0.025
31,SIDS and LDCs,Trinidad and Tobago,individual,0.019
31,SIDS and LDCs,Tunisia,individual,0.024
31,SIDS and LDCs,Türkiye,individual,0.016
31,SIDS and LDCs,Ukraine,individual,0.004
31,SIDS and LDCs,United Arab Emirates,individual,0.040
31,SIDS and LDCs,United Kingdom of Great Britain and Northern Ireland,individual,0.005
31,SIDS and LDCs,United Republic of Tanzania,individual,0.177
31,SIDS and LDCs,United States of America,individual,0.004
31,SIDS and LDCs,Uruguay,individual,0.004
31,SIDS and LDCs,Uzbekistan,individual,0.007
31,SIDS and LDCs,Venezuela (Bolivarian Republic of),individual,0.003
31,SIDS and LDCs,Viet Nam,individual,0.082
31,SIDS and LDCs,Zimbabwe,individual,0.016
32,All economies,Albania,individual,0.014
32,All economies,Algeria,individual,0.029
32,All economies,Argentina,individual,0.010
32,All economies,Armenia,individual,0.019
32,All economies,Australia,individual,0.018
32,All economies,Bahrain,individual,0.039
32,All economies,Bangladesh,individual,0.023
32,All economies,Belgium,individual,-0.005
32,All economies,Bolivia (Plurinational State of),individual,0.012
32,All economies,Botswana,individual,0.014
32,All economies,Brazil,individual,0.013
32,All economies,Brunei Darussalam,individual,0.030
32,All economies,Bulgaria,individual,0.035
32,All economies,Cameroon,individual,0.027
32,All economies,Canada,individual,-0.003
32,All economies,Chile,individual,0.027
32,All economies,China,individual,0.016
32,All economies,Colombia,individual,0.019
32,All economies,Costa Rica,individual,0.025
32,All economies,Croatia,individual,-0.003
32,All economies,Cyprus,individual,0.015
32,All economies,Côte d'Ivoire,individual,0.041
32,All economies,Denmark,individual,-0.010
32,All economies,Dominican Republic,individual,0.020
32,All economies,Ecuador,individual,0.021
32,All economies,Egypt,individual,0.036
32,All economies,El Salvador,individual,0.030
32,All economies,Equatorial Guinea,individual,0.001
32,All economies,Estonia,individual,-0.012
32,All economies,Eswatini,individual,0.013
32,All economies,Finland,individual,0.007
32,All economies,France,individual,0.000
32,All economies,Gabon,individual,0.030
32,All economies,Georgia,individual,0.034
32,All economies,Germany,individual,0.011
32,All economies,Ghana,individual,0.057
32,All economies,Greece,individual,0.004
32,All economies,Guatemala,individual,0.027
32,All economies,Honduras,individual,0.063
32,All economies,India,individual,0.015
32,All economies,Indonesia,individual,0.020
32,All economies,Iran (Islamic Republic of),individual,0.012
32,All economies,Iraq,individual,0.036
32,All economies,Ireland,individual,0.032
32,All economies,Israel,individual,0.014
32,All economies,Italy,individual,0.008
32,All economies,Japan,individual,0.012
32,All economies,Jordan,individual,0.031
32,All economies,Kenya,individual,0.079
32,All economies,Kuwait,individual,0.037
32,All economies,Latvia,individual,-0.016
32,All economies,Lithuania,individual,0.003
32,All economies,Madagascar,individual,0.062
32,All economies,Malaysia,individual,0.066
32,All economies,Malta,individual,-0.017
32,All economies,Mauritius,individual,0.026
32,All economies,Mexico,individual,0.005
32,All economies,Morocco,individual,0.038
32,All economies,Namibia,individual,0.038
32,All economies,Netherlands (Kingdom of the),individual,0.000
32,All economies,New Zealand,individual,0.015
32,All economies,Nicaragua,individual,0.079
32,All economies,Nigeria,individual,0.029
32,All economies,Norway,individual,0.010
32,All economies,Oman,individual,0.043
32,All economies,Pakistan,individual,0.032
32,All economies,Panama,individual,0.002
32,All economies,Paraguay,individual,0.024
32,All economies,Peru,individual,0.023
32,All economies,Philippines,individual,0.039
32,All economies,Poland,individual,0.013
32,All economies,Portugal,individual,0.011
32,All economies,Qatar,individual,0.032
32,All economies,Republic of Korea,individual,0.032
32,All economies,Rest of American SIDS,aggregate,0.032
32,All economies,Rest of Asia,aggregate,0.022
32,All economies,Rest of Asian SIDS and LDCs,aggregate,0.107
32,All economies,Rest of Caribbean,aggregate,0.019
32,All economies,Rest of Europe,aggregate,0.038
32,All economies,Rest of LDC in Africa,aggregate,0.047
32,All economies,Rest of Middle East and North Africa,aggregate,0.027
32,All economies,Rest of Oceania,aggregate,0.093
32,All economies,Rest of Western Africa,aggregate,0.530
32,All economies,Rest of developing economies in Europe and Central Asia,aggregate,0.010
32,All economies,Rest of landlocked economies in Africa,aggregate,0.055
32,All economies,Rest of the world,aggregate,-0.003
32,All economies,Romania,individual,0.028
32,All economies,Russian Federation,individual,0.017
32,All economies,Saudi Arabia,individual,0.030
32,All economies,Serbia,individual,0.026
32,All economies,Singapore,individual,0.035
32,All economies,Slovenia,individual,-0.009
32,All economies,South Africa,individual,0.030
32,All economies,Spain,individual,0.014
32,All economies,Sri Lanka,individual,0.020
32,All economies,Sweden,individual,0.008
32,All economies,Syrian Arab Republic,individual,-0.115
32,All economies,Thailand,individual,0.047
32,All economies,Trinidad and Tobago,individual,0.022
32,All economies,Tunisia,individual,0.046
32,All economies,Türkiye,individual,0.027
32,All economies,Ukraine,individual,0.043
32,All economies,United Arab Emirates,individual,0.061
32,All economies,United Kingdom of Great Britain and Northern Ireland,individual,0.010
32,All economies,United Republic of Tanzania,individual,0.078
32,All economies,United States of America,individual,0.007
32,All economies,Uruguay,individual,0.009
32,All economies,Uzbekistan,individual,0.004
32,All economies,Venezuela (Bolivarian Republic of),individual,0.007
32,All economies,Viet Nam,individual,0.250
32,All economies,Zimbabwe,individual,0.033
32,"Developing economies, LDCs and SIDS",Albania,individual,0.016
32,"Developing economies, LDCs and SIDS",Algeria,individual,0.029
32,"Developing economies, LDCs and SIDS",Argentina,individual,0.010
32,"Developing economies, LDCs and SIDS",Armenia,individual,0.020
32,"Developing economies, LDCs and SIDS",Australia,individual,0.017
32,"Developing economies, LDCs and SIDS",Bahrain,individual,0.038
32,"Developing economies, LDCs and SIDS",Bangladesh,individual,0.023
32,"Developing economies, LDCs and SIDS",Belgium,individual,-0.009
32,"Developing economies, LDCs and SIDS",Bolivia (Plurinational State of),individual,0.012
32,"Developing economies, LDCs and SIDS",Botswana,individual,0.014
32,"Developing economies, LDCs and SIDS",Brazil,individual,0.014
32,"Developing economies, LDCs and SIDS",Brunei Darussalam,individual,0.030
32,"Developing economies, LDCs and SIDS",Bulgaria,individual,0.035
32,"Developing economies, LDCs and SIDS",Cameroon,individual,0.028
32,"Developing economies, LDCs and SIDS",Canada,individual,-0.004
32,"Developing economies, LDCs and SIDS",Chile,individual,0.024
32,"Developing economies, LDCs and SIDS",China,individual,0.016
32,"Developing economies, LDCs and SIDS",Colombia,individual,0.020
32,"Developing economies, LDCs and SIDS",Costa Rica,individual,0.025
32,"Developing economies, LDCs and SIDS",Croatia,individual,-0.007
32,"Developing economies, LDCs and SIDS",Cyprus,individual,0.013
32,"Developing economies, LDCs and SIDS",Côte d'Ivoire,individual,0.043
32,"Developing economies, LDCs and SIDS",Denmark,individual,-0.011
32,"Developing economies, LDCs and SIDS",Dominican Republic,individual,0.020
32,"Developing economies, LDCs and SIDS",Ecuador,individual,0.022
32,"Developing economies, LDCs and SIDS",Egypt,individual,0.036
32,"Developing economies, LDCs and SIDS",El Salvador,individual,0.030
32,"Developing economies, LDCs and SIDS",Equatorial Guinea,individual,0.001
32,"Developing economies, LDCs and SIDS",Estonia,individual,-0.016
32,"Developing economies, LDCs and SIDS",Eswatini,individual,0.013
32,"Developing economies, LDCs and SIDS",Finland,individual,0.005
32,"Developing economies, LDCs and SIDS",France,individual,0.000
32,"Developing economies, LDCs and SIDS",Gabon,individual,0.030
32,"Developing economies, LDCs and SIDS",Georgia,individual,0.035
32,"Developing economies, LDCs and SIDS",Germany,individual,0.010
32,"Developing economies, LDCs and SIDS",Ghana,individual,0.060
32,"Developing economies, LDCs and SIDS",Greece,individual,0.001
32,"Developing economies, LDCs and SIDS",Guatemala,individual,0.029
32,"Developing economies, LDCs and SIDS",Honduras,individual,0.065
32,"Developing economies, LDCs and SIDS",India,individual,0.014
32,"Developing economies, LDCs and SIDS",Indonesia,individual,0.020
32,"Developing economies, LDCs and SIDS",Iran (Islamic Republic of),individual,0.012
32,"Developing economies, LDCs and SIDS",Iraq,individual,0.036
32,"Developing economies, LDCs and SIDS",Ireland,individual,0.032
32,"Developing economies, LDCs and SIDS",Israel,individual,0.012
32,"Developing economies, LDCs and SIDS",Italy,individual,0.007
32,"Developing economies, LDCs and SIDS",Japan,individual,0.012
32,"Developing economies, LDCs and SIDS",Jordan,individual,0.031
32,"Developing economies, LDCs and SIDS",Kenya,individual,0.085
32,"Developing economies, LDCs and SIDS",Kuwait,individual,0.037
32,"Developing economies, LDCs and SIDS",Latvia,individual,-0.022
32,"Developing economies, LDCs and SIDS",Lithuania,individual,0.000
32,"Developing economies, LDCs and SIDS",Madagascar,individual,0.065
32,"Developing economies, LDCs and SIDS",Malaysia,individual,0.066
32,"Developing economies, LDCs and SIDS",Malta,individual,-0.032
32,"Developing economies, LDCs and SIDS",Mauritius,individual,0.026
32,"Developing economies, LDCs and SIDS",Mexico,individual,0.005
32,"Developing economies, LDCs and SIDS",Morocco,individual,0.038
32,"Developing economies, LDCs and SIDS",Namibia,individual,0.038
32,"Developing economies, LDCs and SIDS",Netherlands (Kingdom of the),individual,-0.001
32,"Developing economies, LDCs and SIDS",New Zealand,individual,0.014
32,"Developing economies, LDCs and SIDS",Nicaragua,individual,0.083
32,"Developing economies, LDCs and SIDS",Nigeria,individual,0.031
32,"Developing economies, LDCs and SIDS",Norway,individual,0.010
32,"Developing economies, LDCs and SIDS",Oman,individual,0.042
32,"Developing economies, LDCs and SIDS",Pakistan,individual,0.034
32,"Developing economies, LDCs and SIDS",Panama,individual,-0.002
32,"Developing economies, LDCs and SIDS",Paraguay,individual,0.025
32,"Developing economies, LDCs and SIDS",Peru,individual,0.023
32,"Developing economies, LDCs and SIDS",Philippines,individual,0.039
32,"Developing economies, LDCs and SIDS",Poland,individual,0.011
32,"Developing economies, LDCs and SIDS",Portugal,individual,0.008
32,"Developing economies, LDCs and SIDS",Qatar,individual,0.032
32,"Developing economies, LDCs and SIDS",Republic of Korea,individual,0.031
32,"Developing economies, LDCs and SIDS",Rest of American SIDS,aggregate,0.032
32,"Developing economies, LDCs and SIDS",Rest of Asia,aggregate,0.022
32,"Developing economies, LDCs and SIDS",Rest of Asian SIDS and LDCs,aggregate,0.114
32,"Developing economies, LDCs and SIDS",Rest of Caribbean,aggregate,0.020
32,"Developing economies, LDCs and SIDS",Rest of Europe,aggregate,0.037
32,"Developing economies, LDCs and SIDS",Rest of LDC in Africa,aggregate,0.050
32,"Developing economies, LDCs and SIDS",Rest of Middle East and North Africa,aggregate,0.028
32,"Developing economies, LDCs and SIDS",Rest of Oceania,aggregate,0.099
32,"Developing economies, LDCs and SIDS",Rest of Western Africa,aggregate,0.575
32,"Developing economies, LDCs and SIDS",Rest of developing economies in Europe and Central Asia,aggregate,0.011
32,"Developing economies, LDCs and SIDS",Rest of landlocked economies in Africa,aggregate,0.058
32,"Developing economies, LDCs and SIDS",Rest of the world,aggregate,-0.003
32,"Developing economies, LDCs and SIDS",Romania,individual,0.027
32,"Developing economies, LDCs and SIDS",Russian Federation,individual,0.017
32,"Developing economies, LDCs and SIDS",Saudi Arabia,individual,0.031
32,"Developing economies, LDCs and SIDS",Serbia,individual,0.026
32,"Developing economies, LDCs and SIDS",Singapore,individual,0.035
32,"Developing economies, LDCs and SIDS",Slovenia,individual,-0.012
32,"Developing economies, LDCs and SIDS",South Africa,individual,0.031
32,"Developing economies, LDCs and SIDS",Spain,individual,0.012
32,"Developing economies, LDCs and SIDS",Sri Lanka,individual,0.020
32,"Developing economies, LDCs and SIDS",Sweden,individual,0.007
32,"Developing economies, LDCs and SIDS",Syrian Arab Republic,individual,-0.129
32,"Developing economies, LDCs and SIDS",Thailand,individual,0.047
32,"Developing economies, LDCs and SIDS",Trinidad and Tobago,individual,0.022
32,"Developing economies, LDCs and SIDS",Tunisia,individual,0.046
32,"Developing economies, LDCs and SIDS",Türkiye,individual,0.027
32,"Developing economies, LDCs and SIDS",Ukraine,individual,0.047
32,"Developing economies, LDCs and SIDS",United Arab Emirates,individual,0.061
32,"Developing economies, LDCs and SIDS",United Kingdom of Great Britain and Northern Ireland,individual,0.009
32,"Developing economies, LDCs and SIDS",United Republic of Tanzania,individual,0.084
32,"Developing economies, LDCs and SIDS",United States of America,individual,0.006
32,"Developing economies, LDCs and SIDS",Uruguay,individual,0.005
32,"Developing economies, LDCs and SIDS",Uzbekistan,individual,0.004
32,"Developing economies, LDCs and SIDS",Venezuela (Bolivarian Republic of),individual,0.007
32,"Developing economies, LDCs and SIDS",Viet Nam,individual,0.259
32,"Developing economies, LDCs and SIDS",Zimbabwe,individual,0.035
32,SIDS and LDCs,Albania,individual,0.006
32,SIDS and LDCs,Algeria,individual,0.026
32,SIDS and LDCs,Argentina,individual,0.008
32,SIDS and LDCs,Armenia,individual,0.019
32,SIDS and LDCs,Australia,individual,0.018
32,SIDS and LDCs,Bahrain,individual,0.039
32,SIDS and LDCs,Bangladesh,individual,0.023
32,SIDS and LDCs,Belgium,individual,-0.009
32,SIDS and LDCs,Bolivia (Plurinational State of),individual,0.009
32,SIDS and LDCs,Botswana,individual,0.015
32,SIDS and LDCs,Brazil,individual,0.006
32,SIDS and LDCs,Brunei Darussalam,individual,0.031
32,SIDS and LDCs,Bulgaria,individual,0.025
32,SIDS and LDCs,Cameroon,individual,0.018
32,SIDS and LDCs,Canada,individual,-0.004
32,SIDS and LDCs,Chile,individual,0.025
32,SIDS and LDCs,China,individual,0.013
32,SIDS and LDCs,Colombia,individual,0.012
32,SIDS and LDCs,Costa Rica,individual,0.017
32,SIDS and LDCs,Croatia,individual,-0.008
32,SIDS and LDCs,Cyprus,individual,0.014
32,SIDS and LDCs,Côte d'Ivoire,individual,0.035
32,SIDS and LDCs,Denmark,individual,-0.014
32,SIDS and LDCs,Dominican Republic,individual,0.031
32,SIDS and LDCs,Ecuador,individual,0.015
32,SIDS and LDCs,Egypt,individual,0.041
32,SIDS and LDCs,El Salvador,individual,0.016
32,SIDS and LDCs,Equatorial Guinea,individual,0.016
32,SIDS and LDCs,Estonia,individual,-0.014
32,SIDS and LDCs,Eswatini,individual,0.014
32,SIDS and LDCs,Finland,individual,0.003
32,SIDS and LDCs,France,individual,-0.002
32,SIDS and LDCs,Gabon,individual,0.040
32,SIDS and LDCs,Georgia,individual,0.032
32,SIDS and LDCs,Germany,individual,0.008
32,SIDS and LDCs,Ghana,individual,0.037
32,SIDS and LDCs,Greece,individual,-0.002
32,SIDS and LDCs,Guatemala,individual,0.018
32,SIDS and LDCs,Honduras,individual,0.042
32,SIDS and LDCs,India,individual,0.020
32,SIDS and LDCs,Indonesia,individual,0.020
32,SIDS and LDCs,Iran (Islamic Republic of),individual,0.014
32,SIDS and LDCs,Iraq,individual,0.036
32,SIDS and LDCs,Ireland,individual,0.032
32,SIDS and LDCs,Israel,individual,0.011
32,SIDS and LDCs,Italy,individual,0.006
32,SIDS and LDCs,Japan,individual,0.012
32,SIDS and LDCs,Jordan,individual,0.033
32,SIDS and LDCs,Kenya,individual,0.055
32,SIDS and LDCs,Kuwait,individual,0.038
32,SIDS and LDCs,Latvia,individual,-0.022
32,SIDS and LDCs,Lithuania,individual,-0.002
32,SIDS and LDCs,Madagascar,individual,0.151
32,SIDS and LDCs,Malaysia,individual,0.064
32,SIDS and LDCs,Malta,individual,-0.018
32,SIDS and LDCs,Mauritius,individual,0.037
32,SIDS and LDCs,Mexico,individual,0.001
32,SIDS and LDCs,Morocco,individual,0.035
32,SIDS and LDCs,Namibia,individual,0.045
32,SIDS and LDCs,Netherlands (Kingdom of the),individual,-0.002
32,SIDS and LDCs,New Zealand,individual,0.014
32,SIDS and LDCs,Nicaragua,individual,0.046
32,SIDS and LDCs,Nigeria,individual,0.015
32,SIDS and LDCs,Norway,individual,0.009
32,SIDS and LDCs,Oman,individual,0.048
32,SIDS and LDCs,Pakistan,individual,0.018
32,SIDS and LDCs,Panama,individual,0.002
32,SIDS and LDCs,Paraguay,individual,0.015
32,SIDS and LDCs,Peru,individual,0.021
32,SIDS and LDCs,Philippines,individual,0.037
32,SIDS and LDCs,Poland,individual,0.010
32,SIDS and LDCs,Portugal,individual,0.011
32,SIDS and LDCs,Qatar,individual,0.033
32,SIDS and LDCs,Republic of Korea,individual,0.030
32,SIDS and LDCs,Rest of American SIDS,aggregate,0.070
32,SIDS and LDCs,Rest of Asia,aggregate,0.022
32,SIDS and LDCs,Rest of Asian SIDS and LDCs,aggregate,0.345
32,SIDS and LDCs,Rest of Caribbean,aggregate,0.065
32,SIDS and LDCs,Rest of Europe,aggregate,0.035
32,SIDS and LDCs,Rest of LDC in Africa,aggregate,0.139
32,SIDS and LDCs,Rest of Middle East and North Africa,aggregate,0.021
32,SIDS and LDCs,Rest of Oceania,aggregate,0.296
32,SIDS and LDCs,Rest of Western Africa,aggregate,2.030
32,SIDS and LDCs,Rest of developing economies in Europe and Central Asia,aggregate,0.007
32,SIDS and LDCs,Rest of landlocked economies in Africa,aggregate,0.163
32,SIDS and LDCs,Rest of the world,aggregate,-0.003
32,SIDS and LDCs,Romania,individual,0.026
32,SIDS and LDCs,Russian Federation,individual,0.016
32,SIDS and LDCs,Saudi Arabia,individual,0.033
32,SIDS and LDCs,Serbia,individual,0.021
32,SIDS and LDCs,Singapore,individual,0.038
32,SIDS and LDCs,Slovenia,individual,-0.011
32,SIDS and LDCs,South Africa,individual,0.026
32,SIDS and LDCs,Spain,individual,0.011
32,SIDS and LDCs,Sri Lanka,individual,0.010
32,SIDS and LDCs,Sweden,individual,0.006
32,SIDS and LDCs,Syrian Arab Republic,individual,0.029
32,SIDS and LDCs,Thailand,individual,0.042
32,SIDS and LDCs,Trinidad and Tobago,individual,0.030
32,SIDS and LDCs,Tunisia,individual,0.040
32,SIDS and LDCs,Türkiye,individual,0.027
32,SIDS and LDCs,Ukraine,individual,0.007
32,SIDS and LDCs,United Arab Emirates,individual,0.068
32,SIDS and LDCs,United Kingdom of Great Britain and Northern Ireland,individual,0.009
32,SIDS and LDCs,United Republic of Tanzania,individual,0.254
32,SIDS and LDCs,United States of America,individual,0.007
32,SIDS and LDCs,Uruguay,individual,0.006
32,SIDS and LDCs,Uzbekistan,individual,0.013
32,SIDS and LDCs,Venezuela (Bolivarian Republic of),individual,0.006
32,SIDS and LDCs,Viet Nam,individual,0.150
32,SIDS and LDCs,Zimbabwe,individual,0.027
46,All economies,Albania,individual,0.046
46,All economies,Algeria,individual,0.087
46,All economies,Argentina,individual,0.032
46,All economies,Armenia,individual,0.058
46,All economies,Australia,individual,0.054
46,All economies,Bahrain,individual,0.119
46,All economies,Bangladesh,individual,0.068
46,All economies,Belgium,individual,-0.018
46,All economies,Bolivia (Plurinational State of),individual,0.036
46,All economies,Botswana,individual,0.042
46,All economies,Brazil,individual,0.042
46,All economies,Brunei Darussalam,individual,0.090
46,All economies,Bulgaria,individual,0.107
46,All economies,Cameroon,individual,0.092
46,All economies,Canada,individual,-0.010
46,All economies,Chile,individual,0.084
46,All economies,China,individual,0.048
46,All economies,Colombia,individual,0.060
46,All economies,Costa Rica,individual,0.079
46,All economies,Croatia,individual,-0.010
46,All economies,Cyprus,individual,0.046
46,All economies,Côte d'Ivoire,individual,0.132
46,All economies,Denmark,individual,-0.030
46,All economies,Dominican Republic,individual,0.060
46,All economies,Ecuador,individual,0.069
46,All economies,Egypt,individual,0.113
46,All economies,El Salvador,individual,0.098
46,All economies,Equatorial Guinea,individual,0.001
46,All economies,Estonia,individual,-0.039
46,All economies,Eswatini,individual,0.039
46,All economies,Finland,individual,0.021
46,All economies,France,individual,0.000
46,All economies,Gabon,individual,0.092
46,All economies,Georgia,individual,0.102
46,All economies,Germany,individual,0.035
46,All economies,Ghana,individual,0.178
46,All economies,Greece,individual,0.014
46,All economies,Guatemala,individual,0.089
46,All economies,Honduras,individual,0.204
46,All economies,India,individual,0.043
46,All economies,Indonesia,individual,0.060
46,All economies,Iran (Islamic Republic of),individual,0.036
46,All economies,Iraq,individual,0.094
46,All economies,Ireland,individual,0.097
46,All economies,Israel,individual,0.040
46,All economies,Italy,individual,0.024
46,All economies,Japan,individual,0.037
46,All economies,Jordan,individual,0.095
46,All economies,Kenya,individual,0.294
46,All economies,Kuwait,individual,0.113
46,All economies,Latvia,individual,-0.050
46,All economies,Lithuania,individual,0.008
46,All economies,Madagascar,individual,0.196
46,All economies,Malaysia,individual,0.199
46,All economies,Malta,individual,-0.042
46,All economies,Mauritius,individual,0.080
46,All economies,Mexico,individual,0.012
46,All economies,Morocco,individual,0.116
46,All economies,Namibia,individual,0.115
46,All economies,Netherlands (Kingdom of the),individual,-0.002
46,All economies,New Zealand,individual,0.048
46,All economies,Nicaragua,individual,0.257
46,All economies,Nigeria,individual,0.093
46,All economies,Norway,individual,0.031
46,All economies,Oman,individual,0.130
46,All economies,Pakistan,individual,0.107
46,All economies,Panama,individual,0.009
46,All economies,Paraguay,individual,0.072
46,All economies,Peru,individual,0.068
46,All economies,Philippines,individual,0.113
46,All economies,Poland,individual,0.039
46,All economies,Portugal,individual,0.037
46,All economies,Qatar,individual,0.097
46,All economies,Republic of Korea,individual,0.101
46,All economies,Rest of American SIDS,aggregate,0.097
46,All economies,Rest of Asia,aggregate,0.067
46,All economies,Rest of Asian SIDS and LDCs,aggregate,0.337
46,All economies,Rest of Caribbean,aggregate,0.063
